Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
CÉCILE VOLANGES	SOPHIE CARNAY	1	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_1	3	0	737	52	18.82051282051282	15.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	2	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_2	0	21	608	42	27.636363636363637	24.5
CÉCILE VOLANGES	SOPHIE CARNAY	3	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_3	0	1	385	18	16.695652173913043	12.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	4	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_4	0	17	771	54	22.676470588235293	20.5
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	5	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_5	0	32	826	60	25.0	23.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	6	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_6	0	14	1017	72	19.11320754716981	19.0
CÉCILE VOLANGES	SOPHIE CARNAY	7	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_7	0	2	344	20	17.2	16.0
MADAME TOURVEL	MADAME DE VOLANGES	8	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_8	0	9	488	30	21.217391304347824	20.0
MADAME DE VOLANGES	MADAME TOURVEL	9	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_9	0	20	721	50	25.75	23.5
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	10	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_10	0	36	1676	135	21.487179487179485	18.5
MADAME TOURVEL	MADAME DE VOLANGES	11	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_11	0	11	792	58	20.307692307692307	20.0
CÉCILE VOLANGES	MARQUISE DE MERTEUIL	12	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_12	0	5	125	7	15.625	8.5
MARQUISE DE MERTEUIL	CÉCILE VOLANGES	13	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_13	0	3	140	13	14.0	9.5
CÉCILE VOLANGES	SOPHIE CARNAY	14	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_14	1	0	479	31	19.958333333333332	16.5
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	15	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_15	0	13	590	46	23.6	18.0
CÉCILE VOLANGES	SOPHIE CARNAY	16	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_16	4	0	728	50	21.41176470588235	21.5
CHEVALIER DANCENY	CÉCILE VOLANGES	17	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_17	0	23	361	32	19.05263157894737	15.0
CÉCILE VOLANGES	SOPHIE CARNAY	18	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_18	11	2	903	55	17.705882352941178	14.0
CÉCILE VOLANGES	CHEVALIER DANCENY	19	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_19	0	17	218	15	19.818181818181817	19.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	20	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_20	0	18	692	60	23.066666666666666	20.5
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	21	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_21	0	7	1001	78	25.025	19.5
MADAME TOURVEL	MADAME DE VOLANGES	22	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_22	0	6	649	57	25.96	19.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	23	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_23	0	24	1565	128	22.04225352112676	19.0
VICOMTE DE VALMONT	MADAME TOURVEL	24	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_24	0	31	573	37	44.07692307692308	41.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	25	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_25	0	4	551	38	27.55	26.0
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	26	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_26	0	41	631	58	39.4375	37.5
CÉCILE VOLANGES	MADAME DE MERTEUIL	27	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_27	0	28	771	68	35.04545454545455	30.0
CHEVALIER DANCENY	CÉCILE VOLANGES	28	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_28	0	20	442	24	49.111111111111114	34.0
CÉCILE VOLANGES	SOPHIE CARNAY	29	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_29	0	0	509	34	28.27777777777778	22.5
CÉCILE VOLANGES	CHEVALIER DANCENY	30	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_30	0	27	327	26	25.153846153846153	22.0
CHEVALIER DANCENY	CÉCILE VOLANGES	31	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_31	0	16	380	27	34.54545454545455	18.0
MADAME DE VOLANGES	MADAME TOURVEL	32	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_32	0	24	963	83	26.027027027027028	20.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	33	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_33	0	24	781	51	26.93103448275862	21.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	34	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_34	0	10	1195	95	22.14814814814815	18.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	35	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_35	0	49	794	63	27.379310344827587	20.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	36	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_36	0	33	927	71	23.2	20.5
LA PRÉSIDENTE TOURVEL	MADAME DE VOLANGES	37	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_37	0	5	410	37	24.11764705882353	23.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	38	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_38	0	11	648	44	27.0	20.0
CÉCILE VOLANGES	SOPHIE CARNAY	39	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_39	3	0	612	40	18.515151515151516	16.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	40	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_40	0	14	808	63	25.25	22.5
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	41	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_41	0	26	537	49	41.30769230769231	38.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	42	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_42	0	25	493	33	32.86666666666667	25.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	43	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Suite_de_la_lettre_40	0	2	630	47	30.0	29.0
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	44	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_43	0	33	487	33	40.583333333333336	37.5
